"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2008","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2009","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2010","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2011","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2012","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2013","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2014","5.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2015","5.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2016","5.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2017","5.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2018","4.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2019","4.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","112","BLR","Беларусь","2020","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2005","8.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2006","8.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2007","7.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2008","7.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2009","8.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2010","8.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2011","7.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2012","7.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2013","8.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2014","8.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2015","8.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2016","7.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2017","7.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2018","6.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2019","5.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","056","BEL","Бельгия","2020","5.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2005","10.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2006","9.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2007","6.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2008","5.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2009","7.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2010","11.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2011","12.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2012","13.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2013","13.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2014","12.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2015","10.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2016","8.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2017","7.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2018","6.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2019","5.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","100","BGR","Болгария","2020","6.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2005","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2006","31.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2007","44.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2008","41.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2009","41.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2010","42.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2011","43.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2012","44.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2013","44.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2014","43.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2015","43.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2016","41.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","070","BIH","Босния и Герцеговина","2017","38.4",
